negative,Can't believe I have to wait another 6 months for my phone contract to end! I'm bored now!!! The 12 month contract would have run out!!! 
negative,When did I felt so lonely? 
negative,"ugh. a huge headache, coughing constantly, legs feeling week, and feeling like throwing up.  This sucks beyond compare "
negative,"Got to go clean now, knowing it will be messed up again by tomorrow. "
negative,is still hoping Google take over the world. Algebra revision 
negative,"has his new M4400 w/ Core2 Extreme X9100 &amp; SSE4.1 64-bit buildchain finally rebuilt, but also found an igraph/ARPACK regression "
negative,@slightsarcasm tom  (time of month ;) ) not your bf tom :L
negative,@taelorrr I wish you didn't have to leave 
negative,it's just sad 
negative,does not want to be in doors while everyone else is enjoying the sunshine!!! 
negative,@DHughesy home not well 
negative,has to stay in on a sunny day  ill
negative,Sorry to anyone who follows me who doesn't like football 
negative,So I'm on my way to cricket  they better not make me play
negative,I want to go shopping! There are so many private sale here in paris!! But i have to study first 
negative,@Foxyma2k9 So I missed the game. Did Mel cry when the Nuggets lost?! I hate that I missed that game. 
negative,I think I have an ear infection 
negative,@scottjames87 lol  Another try
negative,Some esoteric driver conflict is causing Windows 7 RC to lock randomly on my Macbook Pro. Build 7000 worked fine. gg. Back to XP. 
negative,"just sang, ugh the sound produced was not pretty, vocal rest for me i'm thinking "
negative,10am still no red velvet n ice cream 
negative,@OpheliaPunk apparently she's already given up and decided to leave us in the dark 
negative,"At Silver Sands Beach in Aberdour, fantastic weather. Long ice cream queue though "
negative,@im not going to have any visiting time  we are exchanging/returning wedding stuff today
negative,@MGGubler poor thing! 
negative,im loving the sunshine today! gotta get my windscreen on my van done today  song writin day today for me!! hell yeah!
negative,"@marymymary  oh. ok i understand..maybe next time ..well, keep on voting! (@melvinlovemusic and our other friends did not vote.. "
negative,@alexhaas You should've  I've been wanting to try making some for awhile now lol
negative,Is at game training and waiting to break his ankle. It's swollen. 
negative,@untoward i would like a hug job 
negative,Everton 1 nil up and I have to watch on teletext 
negative,Gosh I shpouldnt have told him my darkest secret last night...now he thinks I'm crazy I'm sure!!!  
negative,@Jayme1988 where is my smooch 
negative,@berkvisual Berk.......... you said i was the dopest 
negative,@MairLouise I have and I am.. my science exams are soon. YAY ! 
negative,is cold again. Bet my bed is freezing 
negative,Time for the inevitable... mowing the grass. 
negative,"@tommcfly i wanted you to be all mine too.  just kidding! LOL, where's harry? i wanted him to be all mine! that would be good."
negative,"@M641 Aww, hope everything is ok! That's scary "
negative,@megzillathrilla now it's my turn to be jealous! In PA for grad parties 
negative,"@sanshirosugata I miss you, too. I wish you could have called.  I love you."
negative,Extremely jealous that my cousins are off to Italy for 3 weeks without me 
negative,Dare i say it...but good header by the drog to make it 1 all  come on everton! #football #facup
negative,Good morning tweeps. im up but still very tired 
negative,Movers are here. My apt is already looking weird and sad  goodbye Meltise Place.
negative,@evileonupe  I have rehearsal and an interview this afternoon. Then I am hosting an event tonight at CSU. So IDK if I kan kome 
negative,woke up feeling shitty  gotta shake this before 1230. work 1 til 9.
negative,Not feeling well think i have a fever  hopefully i'm feeling better later so i can get my tongue pierced!
negative,@patriciaco Oh really? @KrisAllenMusic too? So sad.  I've been tweeting them. (
negative,"@vahncloud: ur schedule is soo much better than ours,  but at least we dont have to get up as early as you guys!!"
negative,@DeepyJo How rude  save me a burger!
negative,@SarahStelmok I'm sorry... cause I love this  http://www.flickr.com/photos/realtorkimwood/3575766379/
negative,yea soo sick ot work out  but im def laying in bed watching teenage mutant ninja turtles haha.. dunno what im doing today.
negative,Bah! Loads of bbq's around here and i gotta go to work 
negative,Booo.. Chelsea score... 
negative,@jolene_ang u not working and still  ... wat's up actually??? exams??
negative,Sitting under the hot ass dryer in the hair salon...one of my least favorite things to do.... 
negative,@Frozen2theSword Goodness how terrible  But...58 :O I'm actually looking online for things to do in Dubai on my lay-over at the moment!
negative,Is already missing Vegas and I'm still here! I don't wanna go home!!!  Bye Vegas!
negative,@jonasobsessedx being bored   i think i might hang out with my friend today and stupid twitter wont let me change my tweet icon.-.- UGH!&lt;3
negative,There was just something odee bloody and dead in the road  and I ran over it a liddol :-X sowwy.
negative,Up early...going to get a McCafe...tired...real shitty night last night  back to work today...keep $$ on my mind and I'll be cool
negative,"@LimeIce  .. one day, you're gonna be a &lt;your dream here&gt;, then he'll know!"
negative,Chemistry time. 
negative,@valeriesteinier unfortunately we have a packed day  we are going to the #dentc next Tues. Have fun! Would love to ck out Hi*Rise soon
negative,Work until five then kickback a few brewskies since I have to stay off the herb for a few weeks 
negative,"@Sarah_1991 If we win though, I get to go and see the fitties IN THE FLESH tomorrow.  Bloody Chelseaaaa :@"
